date,source,medium,channel_group,sessions,users,new_users,bounce_rate,avg_session_duration,pages_per_session,pages_viewed,conversions,revenue
2024-01-08,google,cpc,Paid Search,1614,1330,893,30.82,218.54,3.37,5442,70,14498.97
2024-01-08,google,organic,Organic Search,2032,1824,1127,61.38,315.97,4.05,8230,70,43774.56
2024-01-08,facebook,cpc,Paid Social,673,612,427,29.2,129.43,1.98,1333,15,7011.77
2024-01-08,instagram,cpc,Paid Social,1894,1532,1160,28.6,258.24,2.07,3922,66,30295.87
2024-01-08,email,email,Email,635,489,387,60.23,114.74,5.25,3336,31,26049.12
2024-01-08,direct,none,Direct,1829,1464,978,38.71,79.07,4.9,8962,116,73238.03
2024-01-08,tiktok,cpc,Paid Social,2012,1601,1248,50.31,206.82,6.07,12215,22,20624.47
2024-01-08,bing,cpc,Paid Search,1743,1541,944,58.8,112.3,2.17,3783,131,83934.11
2024-01-09,google,cpc,Paid Search,2200,1706,1086,28.78,153.73,5.79,12738,177,128588.5
2024-01-09,google,organic,Organic Search,1964,1791,1161,64.51,264,5.31,10429,72,15536.43
2024-01-09,facebook,cpc,Paid Social,2062,1558,1186,63.16,123.25,3.72,7671,43,10001.45
2024-01-09,instagram,cpc,Paid Social,2322,1761,1106,44.48,304.33,4.51,10474,117,46268.23
2024-01-09,email,email,Email,2332,1924,1504,48.21,309.59,2.31,5387,126,26206.22
2024-01-09,direct,none,Direct,1733,1475,885,54.27,221.25,2.28,3953,135,49072.84
2024-01-09,tiktok,cpc,Paid Social,281,234,151,47.67,124.8,3.79,1066,13,3560.22
2024-01-09,bing,cpc,Paid Search,1615,1413,835,49.2,108.67,3.39,5476,48,21711.99
2024-01-10,google,cpc,Paid Search,1899,1566,1129,37,317.41,4.99,9480,82,33420.31
2024-01-10,google,organic,Organic Search,934,779,516,43.08,70.25,5.94,5550,12,4656.28
2024-01-10,facebook,cpc,Paid Social,370,333,245,53.37,291.58,5.99,2218,8,6749.06
2024-01-10,instagram,cpc,Paid Social,1323,1198,926,55.91,166.18,2.98,3944,94,68205.05
2024-01-10,email,email,Email,2081,1609,993,50.15,131.53,5.63,11716,147,73183.42
2024-01-10,direct,none,Direct,1467,1136,792,50.77,301.92,4.55,6678,21,13193.85
2024-01-10,tiktok,cpc,Paid Social,1659,1356,1043,60.88,89.64,2.49,4132,50,17920.73
2024-01-10,bing,cpc,Paid Search,1745,1592,1076,30.95,315.49,4.55,7940,134,96389.89
2024-01-11,google,cpc,Paid Search,1052,958,658,61.14,298.26,4.53,4766,40,16058.19
2024-01-11,google,organic,Organic Search,2417,2194,1682,50.22,67.72,6,14506,155,73714.82
2024-01-11,facebook,cpc,Paid Social,718,595,341,49.85,244.01,3.83,2753,45,31562.5
2024-01-11,instagram,cpc,Paid Social,849,656,460,46.43,185.55,5.86,4979,28,17134.97
2024-01-11,email,email,Email,2415,1890,1389,65.64,127.97,3.19,7706,28,16964.96
2024-01-11,direct,none,Direct,826,669,409,55.67,317.93,5.3,4381,33,24785.22
2024-01-11,tiktok,cpc,Paid Social,1487,1211,779,28.59,243.09,3.43,5102,105,23545.57
2024-01-11,bing,cpc,Paid Search,1084,919,668,30.75,221.53,5.11,5540,15,13358.84
2024-01-12,google,cpc,Paid Search,1551,1410,830,50.56,318.71,5.4,8376,61,51183.12
2024-01-12,google,organic,Organic Search,1852,1635,1291,41.85,111.44,3.92,7260,45,34204.64
2024-01-12,facebook,cpc,Paid Social,1662,1480,957,63.99,262.2,3.17,5270,103,30421.13
2024-01-12,instagram,cpc,Paid Social,1652,1448,855,43.59,274.06,5.11,8441,96,41888.91
2024-01-12,email,email,Email,1574,1325,806,58.47,104.5,3.68,5793,105,57558.21
2024-01-12,direct,none,Direct,635,553,361,39.81,127.68,1.97,1252,10,9181.82
2024-01-12,tiktok,cpc,Paid Social,2208,1812,1389,36.02,147.29,2.19,4836,85,64260.44
2024-01-12,bing,cpc,Paid Search,2085,1900,1054,39.21,312.87,4.95,10322,139,109763.39
2024-01-13,google,cpc,Paid Search,1278,1015,673,52.13,259.44,4.05,5176,97,91173.34
2024-01-13,google,organic,Organic Search,784,596,377,50.97,171.22,5.86,4594,21,11305.1
2024-01-13,facebook,cpc,Paid Social,1719,1302,728,32.82,150.08,6.39,10985,19,7109.29
2024-01-13,instagram,cpc,Paid Social,1323,1177,888,34.48,207.97,2.1,2779,70,43344.26
2024-01-13,email,email,Email,1246,989,565,43.6,189.89,5.75,7168,91,17341.85
2024-01-13,direct,none,Direct,1574,1248,971,58.44,106.18,6.1,9603,92,44378.52
2024-01-13,tiktok,cpc,Paid Social,993,904,503,34.9,184.32,4.13,4102,65,26816.14
2024-01-13,bing,cpc,Paid Search,887,804,587,50.32,300.53,1.9,1686,30,18076.1
2024-01-14,google,cpc,Paid Search,315,239,173,56.38,72.79,5.29,1666,11,4820.29
2024-01-14,google,organic,Organic Search,2022,1676,1177,52.48,302.42,4.54,9181,59,54214.53
2024-01-14,facebook,cpc,Paid Social,526,481,325,58.64,159.17,5.8,3053,27,13982.03
2024-01-14,instagram,cpc,Paid Social,1439,1317,966,34.01,277.56,4.21,6061,18,13263.43
2024-01-14,email,email,Email,1582,1211,824,43.48,245.26,3.35,5299,63,36741.36
2024-01-14,direct,none,Direct,971,780,568,54.66,184.56,4.53,4401,19,8505.48
2024-01-14,tiktok,cpc,Paid Social,1388,1111,687,29.75,312.5,5.53,7680,54,15010.93
2024-01-14,bing,cpc,Paid Search,535,478,366,33.95,227.3,3.7,1981,10,8718.31
2024-01-15,google,cpc,Paid Search,1507,1199,722,55.78,195.84,5.42,8168,68,63966.65
2024-01-15,google,organic,Organic Search,1444,1304,730,33.66,175.51,3.09,4464,101,66092.32
2024-01-15,facebook,cpc,Paid Social,2182,1855,1368,57.28,293.74,4.54,9909,125,24125.37
2024-01-15,instagram,cpc,Paid Social,1928,1674,1238,62.75,266.76,2.67,5149,27,21545.73
2024-01-15,email,email,Email,1971,1634,920,34.86,96,2.08,4101,150,35444.01
2024-01-15,direct,none,Direct,1621,1237,771,65.75,164.63,3.93,6374,82,52468.23
2024-01-15,tiktok,cpc,Paid Social,1334,1154,813,50.21,311.37,5.4,7208,71,29311.69
2024-01-15,bing,cpc,Paid Search,2022,1798,1072,59.33,110.08,5.88,11895,51,37292.37
2024-01-16,google,cpc,Paid Search,1780,1528,1075,51.89,198.13,1.85,3294,26,5438.71
2024-01-16,google,organic,Organic Search,926,777,467,38.35,89.5,4.54,4207,73,37543.55
2024-01-16,facebook,cpc,Paid Social,1850,1666,995,56.99,283.12,4.84,8954,87,78776.97
2024-01-16,instagram,cpc,Paid Social,2427,2224,1563,52.92,133.01,6.33,15366,67,57456.4
2024-01-16,email,email,Email,1213,917,686,37.6,308.04,4.81,5838,56,23128.27
2024-01-16,direct,none,Direct,1494,1323,825,33.37,281.86,5.37,8025,108,21153.61
2024-01-16,tiktok,cpc,Paid Social,738,581,417,52.25,302.69,3.15,2326,45,14590.47
2024-01-16,bing,cpc,Paid Search,564,510,392,36.95,236.21,3.7,2087,27,14668.59
2024-01-17,google,cpc,Paid Search,582,437,312,56.31,247.74,4.22,2457,14,12001.1
2024-01-17,google,organic,Organic Search,1943,1694,977,57.46,93.42,2.05,3983,101,71551.46
2024-01-17,facebook,cpc,Paid Social,893,695,443,42.19,257.89,3.88,3468,16,3446.63
2024-01-17,instagram,cpc,Paid Social,2407,1811,1148,39.09,221.8,3.61,8690,179,65345.73
2024-01-17,email,email,Email,1927,1671,1297,60.86,188.47,3.97,7653,80,75511.36
2024-01-17,direct,none,Direct,1684,1520,1207,60.48,80.3,2.97,5004,76,67962.77
2024-01-17,tiktok,cpc,Paid Social,1656,1470,856,66.79,200.84,5.45,9030,68,64023.73
2024-01-17,bing,cpc,Paid Search,1582,1392,869,67.42,211.62,2.93,4637,74,15641.21
2024-01-18,google,cpc,Paid Search,1463,1326,731,40.36,255.96,6.2,9070,98,69846.37
2024-01-18,google,organic,Organic Search,872,740,591,28.17,187.87,5.02,4378,14,13165.93
2024-01-18,facebook,cpc,Paid Social,1122,952,645,33.18,117.48,2.53,2840,34,16263.04
2024-01-18,instagram,cpc,Paid Social,674,531,364,29.11,138.46,3.87,2608,35,32969.6
2024-01-18,email,email,Email,2249,1869,1391,57.69,141.85,2.46,5534,145,118563.35
2024-01-18,direct,none,Direct,646,583,342,30.73,312.98,6.14,3971,22,12117.45
2024-01-18,tiktok,cpc,Paid Social,1440,1225,927,47.08,148.67,4.45,6410,114,49598.4
2024-01-18,bing,cpc,Paid Search,2382,2136,1368,53.59,305.27,5.29,12601,37,10025.97
2024-01-19,google,cpc,Paid Search,1254,1125,862,38.32,117.24,4.83,6058,107,63074.37
2024-01-19,google,organic,Organic Search,1722,1476,823,62.95,122.01,4.64,7990,30,28030.37
2024-01-19,facebook,cpc,Paid Social,1219,1108,778,43.9,69.13,5.13,6255,71,60558.58
2024-01-19,instagram,cpc,Paid Social,824,700,480,31.94,117.51,3.4,2803,61,41854.25
2024-01-19,email,email,Email,1828,1401,1091,39.79,138.47,2.05,3748,66,28007.25
2024-01-19,direct,none,Direct,1444,1101,688,29.31,101.55,2.72,3929,76,57173.28
2024-01-19,tiktok,cpc,Paid Social,1374,1238,742,41.63,66.04,1.85,2543,26,8229.1
2024-01-19,bing,cpc,Paid Search,1330,1103,753,46.06,94.08,3.88,5160,33,19055.25
2024-01-20,google,cpc,Paid Search,937,811,584,30.97,144.17,3.15,2952,35,13192.16
2024-01-20,google,organic,Organic Search,1859,1563,1196,49.83,177.65,3.34,6209,167,66798.86
2024-01-20,facebook,cpc,Paid Social,1887,1577,966,64.67,126.4,5.76,10874,82,77552.56
2024-01-20,instagram,cpc,Paid Social,1950,1499,1015,43.25,170.76,2.21,4309,108,27833.49
2024-01-20,email,email,Email,1407,1160,702,51.19,141.28,4.29,6039,102,21278.4
2024-01-20,direct,none,Direct,1236,1028,714,60.68,171.61,6.43,7948,34,22406.11
2024-01-20,tiktok,cpc,Paid Social,1591,1227,888,48.64,62.05,5.92,9419,83,54950.26
2024-01-20,bing,cpc,Paid Search,1919,1577,934,38.54,311.13,5.39,10345,151,71940.96
2024-01-21,google,cpc,Paid Search,1145,985,743,38.81,241.58,5.58,6390,101,64764.48
2024-01-21,google,organic,Organic Search,569,480,303,56.39,235.57,4.94,2814,18,3866.11
2024-01-21,facebook,cpc,Paid Social,1349,1189,927,52.74,277.73,1.88,2537,72,27507.5
2024-01-21,instagram,cpc,Paid Social,1506,1261,858,38.26,232.03,2.61,3931,51,23289.19
2024-01-21,email,email,Email,1694,1442,917,54.15,257.74,4.67,7914,21,10360.78
2024-01-21,direct,none,Direct,523,414,285,37.94,211.83,2.64,1382,23,10267.61
2024-01-21,tiktok,cpc,Paid Social,771,648,490,61.4,249.85,6.37,4913,61,45020.87
2024-01-21,bing,cpc,Paid Search,1200,943,749,41.13,103.59,2.06,2473,32,17415.52
2024-01-22,google,cpc,Paid Search,1174,1035,683,43.21,309.04,2.85,3347,37,23804.62
2024-01-22,google,organic,Organic Search,498,393,249,48.35,298.9,4.85,2417,41,14113.25
2024-01-22,facebook,cpc,Paid Social,1462,1132,824,39.95,112.03,3.29,4810,22,16949.19
2024-01-22,instagram,cpc,Paid Social,1634,1362,856,30.24,239.47,2.33,3808,46,31901.62
2024-01-22,email,email,Email,312,277,175,31.86,170.41,5.72,1789,17,11094.99
2024-01-22,direct,none,Direct,552,465,277,64.57,71.12,6.35,3507,11,5163.1
2024-01-22,tiktok,cpc,Paid Social,746,660,383,32.08,182.37,6.26,4671,45,21213.74
2024-01-22,bing,cpc,Paid Search,851,748,512,33.85,313.84,5.66,4817,22,11332.45
2024-01-23,google,cpc,Paid Search,1994,1581,903,40.15,125.23,6.31,12584,86,60314.37
2024-01-23,google,organic,Organic Search,2450,2130,1517,39.83,233.68,2.23,5463,227,72892.92
2024-01-23,facebook,cpc,Paid Social,2296,2001,1466,63.68,182.11,2.59,5946,148,116115.59
2024-01-23,instagram,cpc,Paid Social,791,653,445,37.11,282.39,5.88,4651,54,14640.13
2024-01-23,email,email,Email,445,381,249,29.23,213.19,5.27,2349,13,9196.79
2024-01-23,direct,none,Direct,1803,1419,944,40.22,96.15,3.76,6780,130,117896.2
2024-01-23,tiktok,cpc,Paid Social,892,683,494,60.36,259.5,2.59,2311,57,33901.51
2024-01-23,bing,cpc,Paid Search,951,856,514,31.95,81.22,4.53,4312,22,16882.11
2024-01-24,google,cpc,Paid Search,1609,1387,818,48.64,203.29,6.23,10025,139,49818.67
2024-01-24,google,organic,Organic Search,1389,1046,832,35.68,164.76,2.63,3654,42,31197.45
2024-01-24,facebook,cpc,Paid Social,1197,995,688,61.16,231.71,4.32,5174,33,22581.18
2024-01-24,instagram,cpc,Paid Social,1129,868,537,44.11,130.86,4.49,5069,29,24483.25
2024-01-24,email,email,Email,2085,1604,1219,61.14,218.63,2.81,5859,71,58543.7
2024-01-24,direct,none,Direct,2384,2164,1303,62.85,318.99,6.18,14734,85,73971.44
2024-01-24,tiktok,cpc,Paid Social,1800,1499,1132,61.19,169.98,3.72,6697,46,14024.26
2024-01-24,bing,cpc,Paid Search,2282,1771,1169,64.91,102.52,2.41,5501,160,94915.41
2024-01-25,google,cpc,Paid Search,2291,1868,1312,29.74,132.7,2.75,6300,130,117776.66
2024-01-25,google,organic,Organic Search,1994,1670,1185,42.04,195.05,2.57,5127,182,138215.66
2024-01-25,facebook,cpc,Paid Social,2083,1704,1337,58.3,120.27,5.23,10898,70,15260.36
2024-01-25,instagram,cpc,Paid Social,1639,1333,853,47.86,162.57,5.65,9262,72,67159.94
2024-01-25,email,email,Email,2391,1876,1393,46.96,94.13,5.09,12174,60,46504.4
2024-01-25,direct,none,Direct,371,285,167,45.67,292.28,4.16,1543,28,17944.06
2024-01-25,tiktok,cpc,Paid Social,1351,1030,583,43.02,172.06,4.53,6120,81,31272.66
2024-01-25,bing,cpc,Paid Search,1899,1715,1022,64.87,170.1,4.4,8359,53,31312.36
2024-01-26,google,cpc,Paid Search,2334,1938,1129,49.95,228.43,4.98,11625,68,45396.97
2024-01-26,google,organic,Organic Search,1749,1386,763,65.34,290.66,1.9,3323,81,35133.61
2024-01-26,facebook,cpc,Paid Social,585,462,328,40.04,132.65,3.16,1849,29,11385.62
2024-01-26,instagram,cpc,Paid Social,1773,1336,862,44.18,114.16,6.36,11281,18,9568.58
2024-01-26,email,email,Email,1877,1418,871,51.61,286.07,2.82,5294,50,34455.15
2024-01-26,direct,none,Direct,1143,1030,583,38.2,282.58,5.53,6321,84,63565.35
2024-01-26,tiktok,cpc,Paid Social,426,387,235,46.25,77.57,2.5,1065,18,8408.41
2024-01-26,bing,cpc,Paid Search,330,301,193,42.69,141.25,4.21,1390,14,6378.35
2024-01-27,google,cpc,Paid Search,611,496,287,61.39,114.61,4.62,2826,12,4226.7
2024-01-27,google,organic,Organic Search,413,337,243,42.48,200.67,5.18,2142,41,30170.76
2024-01-27,facebook,cpc,Paid Social,2039,1640,907,55.21,142.49,6.27,12789,62,29999.83
2024-01-27,instagram,cpc,Paid Social,1654,1466,1031,67.72,240.35,3.95,6533,35,17873.79
2024-01-27,email,email,Email,2335,2099,1204,46.38,112.78,5.11,11936,62,46849.65
2024-01-27,direct,none,Direct,1097,850,628,40.46,166.13,3.92,4302,59,17010.73
2024-01-27,tiktok,cpc,Paid Social,2415,2085,1304,38.15,210.11,5,12075,176,54721.87
2024-01-27,bing,cpc,Paid Search,1916,1490,1041,67.3,278.64,5.48,10502,135,119428.27
2024-01-28,google,cpc,Paid Search,360,317,190,47.58,82.17,5.18,1867,17,13127.96
2024-01-28,google,organic,Organic Search,1235,1030,822,51.77,70.03,2.33,2878,79,32596.38
2024-01-28,facebook,cpc,Paid Social,350,293,172,55.41,135.48,3.28,1148,6,2414.36
2024-01-28,instagram,cpc,Paid Social,603,484,279,55.3,83.18,4.47,2697,30,21553.62
2024-01-28,email,email,Email,1600,1204,893,51.91,314.52,3.41,5459,77,64317.22
2024-01-28,direct,none,Direct,354,274,196,28.47,179.95,3.9,1381,8,6402.92
2024-01-28,tiktok,cpc,Paid Social,1881,1483,1082,50.4,107.2,4.8,9031,99,87405.72
2024-01-28,bing,cpc,Paid Search,448,348,264,36.54,287.71,5.96,2670,6,2516.54
2024-01-29,google,cpc,Paid Search,750,621,378,30.46,160.89,4.71,3534,75,47013.54
2024-01-29,google,organic,Organic Search,435,390,291,52.61,281.98,3.69,1606,7,2337.5
2024-01-29,facebook,cpc,Paid Social,2293,2091,1275,28.96,104.37,5.04,11557,148,124875.52
2024-01-29,instagram,cpc,Paid Social,1142,975,566,41.96,105.65,6.05,6911,47,11057.82
2024-01-29,email,email,Email,1768,1600,942,48.51,246.12,1.95,3447,59,34441.07
2024-01-29,direct,none,Direct,1586,1191,949,45.2,313.37,3.18,5044,59,50391.38
2024-01-29,tiktok,cpc,Paid Social,1633,1275,779,56.3,252.31,4.68,7642,121,40381.21
2024-01-29,bing,cpc,Paid Search,1903,1526,928,32.14,92.84,5.05,9615,33,12108.4
2024-01-30,google,cpc,Paid Search,2188,2008,1176,43.07,79.43,6.32,13833,211,40911.73
2024-01-30,google,organic,Organic Search,593,482,334,49.95,140.25,5.2,3086,16,14444.61
2024-01-30,facebook,cpc,Paid Social,419,380,255,65.09,193.69,3.86,1618,22,14528.16
2024-01-30,instagram,cpc,Paid Social,2350,2002,1210,34.23,238.09,2.91,6840,63,44317.6
2024-01-30,email,email,Email,409,346,254,36.1,276,5.12,2096,10,8550.45
2024-01-30,direct,none,Direct,707,532,337,41.69,207.63,4.15,2936,17,6128.78
2024-01-30,tiktok,cpc,Paid Social,1631,1278,773,43.92,88.22,3.75,6116,41,17982.78
2024-01-30,bing,cpc,Paid Search,1596,1462,907,47.73,116.43,4.27,6814,60,47813.08
2024-01-31,google,cpc,Paid Search,1195,1008,664,63.37,167.38,4.84,5786,109,45748.26
2024-01-31,google,organic,Organic Search,772,589,344,29.2,227.28,2.03,1567,28,25311.43
2024-01-31,facebook,cpc,Paid Social,396,301,213,35.86,102.14,3.83,1517,22,12616.77
2024-01-31,instagram,cpc,Paid Social,712,577,421,28.53,116.38,4.28,3049,34,8062.06
2024-01-31,email,email,Email,2299,1943,1083,55.46,229.17,4.45,10232,165,130117.4
2024-01-31,direct,none,Direct,1397,1233,761,64.77,159.31,5.64,7880,107,23857.23
2024-01-31,tiktok,cpc,Paid Social,1693,1523,1029,55,241.05,4.74,8026,49,23065.91
2024-01-31,bing,cpc,Paid Search,1379,1058,628,61.69,302.22,6.31,8705,24,18484.98
2024-02-01,google,cpc,Paid Search,2286,1988,1471,43.77,223.02,2.5,5715,188,131662.63
2024-02-01,google,organic,Organic Search,752,590,426,67.29,155.28,6.27,4716,31,18563.92
2024-02-01,facebook,cpc,Paid Social,683,555,424,60.85,291.85,2.45,1673,25,10761.98
2024-02-01,instagram,cpc,Paid Social,2219,1837,1271,45.17,251.93,2.51,5570,172,38788.97
2024-02-01,email,email,Email,1930,1510,920,56.35,156.71,2.03,3918,124,96442.18
2024-02-01,direct,none,Direct,2065,1571,999,39.5,309.22,3.88,8014,38,12961.73
2024-02-01,tiktok,cpc,Paid Social,318,272,196,41.98,80.15,5.62,1787,22,14330.9
2024-02-01,bing,cpc,Paid Search,642,536,406,64.08,245.06,5.34,3432,8,2596.19
2024-02-02,google,cpc,Paid Search,678,545,316,65.53,254.23,4.84,3285,21,10635.48
2024-02-02,google,organic,Organic Search,2172,1996,1548,34.93,269.45,6.45,14014,101,86687.75
2024-02-02,facebook,cpc,Paid Social,1397,1091,706,30.82,189.6,5.99,8369,26,7286.76
2024-02-02,instagram,cpc,Paid Social,2199,2016,1533,55.46,301.86,4.57,10052,57,33097.85
2024-02-02,email,email,Email,2064,1880,1162,54.62,127.26,3.28,6772,28,8427.49
2024-02-02,direct,none,Direct,1344,1131,708,55.31,245.45,6.25,8404,53,19064.28
2024-02-02,tiktok,cpc,Paid Social,2017,1783,1368,51.39,229.68,5.14,10369,101,19777.97
2024-02-02,bing,cpc,Paid Search,819,631,462,65.9,172.39,5.21,4270,54,39233.82
2024-02-03,google,cpc,Paid Search,1890,1724,1170,67.98,146.42,2.99,5651,27,12457.03
2024-02-03,google,organic,Organic Search,1119,899,604,40.4,156.39,4.32,4834,17,7347.66
2024-02-03,facebook,cpc,Paid Social,1494,1218,879,61.27,151.64,4.28,6394,116,31793.46
2024-02-03,instagram,cpc,Paid Social,1721,1460,1098,48.71,271.66,3.31,5697,48,20168.14
2024-02-03,email,email,Email,498,413,256,43.14,298.11,4.68,2330,39,23146.23
2024-02-03,direct,none,Direct,2096,1743,1271,66.02,121.79,5.55,11634,115,92309.89
2024-02-03,tiktok,cpc,Paid Social,1707,1308,823,42.31,183.12,2.08,3550,45,28944.59
2024-02-03,bing,cpc,Paid Search,1898,1555,1037,57.36,270.48,1.94,3682,122,43485.36
2024-02-04,google,cpc,Paid Search,2068,1858,1466,45.55,165.42,3.93,8129,50,45023.78
2024-02-04,google,organic,Organic Search,1165,1033,794,32.93,268.91,6.03,7027,113,97209.19
2024-02-04,facebook,cpc,Paid Social,1707,1484,935,44.36,237.99,3.46,5906,68,50799.11
2024-02-04,instagram,cpc,Paid Social,1800,1555,1089,57.81,249.23,3.89,7002,48,23043.76
2024-02-04,email,email,Email,1184,920,632,52.58,314.03,2.98,3529,59,40312.22
2024-02-04,direct,none,Direct,355,302,175,47.1,188.95,2.12,753,14,12709.22
2024-02-04,tiktok,cpc,Paid Social,1377,1069,741,61.38,154.11,2.61,3595,25,19424.98
2024-02-04,bing,cpc,Paid Search,1518,1199,772,42.57,111.12,5.04,7650,109,28303.61
2024-02-05,google,cpc,Paid Search,1392,1158,834,65.56,162.86,1.95,2715,114,46451.16
2024-02-05,google,organic,Organic Search,1810,1439,876,66.19,272.22,6.18,11188,38,26674.17
2024-02-05,facebook,cpc,Paid Social,1955,1562,1213,37.1,209.26,4.22,8251,93,26385.04
2024-02-05,instagram,cpc,Paid Social,2572,2333,1654,58,220.25,3.22,8283,139,35645.73
2024-02-05,email,email,Email,2376,1803,1255,44.35,319.75,1.91,4538,114,100536.61
2024-02-05,direct,none,Direct,1216,1089,858,36.6,109.1,5.81,7067,51,15456.55
